institution_id,district_tr,district_eng,institution_name,latitude,longitude,neighborhood_tr,neighborhood_eng
136,Bahçelievler,Bahcelievler,Çınar Cad. Parkı,41.0155021575987,28.8128653206669,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
155,Bahçelievler,Bahcelievler,Yeşil Alan,41.0168154196957,28.8436938100304,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
165,Bahçelievler,Bahcelievler,Şehit Er Girol Alpago Parkı,41.0117969736671,28.8213363172496,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
186,Bahçelievler,Bahcelievler,Oğuzhan Sok. Parkı,41.005824466399,28.831542557654,FEVZİ ÇAKMAK,FEVZI CAKMAK
240,Bahçelievler,Bahcelievler,Mustafa Dönmez Parkı,41.0178724205575,28.8549757361861,CUMHURİYET,CUMHURIYET
384,Bahçelievler,Bahcelievler,Sağlıklı Yaşam Parkı,40.9951376764819,28.8343663356469,FEVZİ ÇAKMAK,FEVZI CAKMAK
418,Bahçelievler,Bahcelievler,Doğan Koloğlu Parkı,40.9950801138291,28.8399019700876,HÜRRİYET,HURRIYET
623,Bahçelievler,Bahcelievler,Nene Hatun Parkı,41.0211662845359,28.831730715556,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
624,Bahçelievler,Bahcelievler,Çocuk Parkı,41.0071089106266,28.847745179988,SOĞANLI,SOGANLI
774,Bahçelievler,Bahcelievler,Park,41.021976945805,28.8397445009492,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
775,Bahçelievler,Bahcelievler,Kerim Tekin Sok. Parkı,41.0059756480533,28.8797855026398,BAHÇELİEVLER,BAHCELIEVLER
776,Bahçelievler,Bahcelievler,Bahçelievler Parkı,41.0044712388543,28.8642958881613,BAHÇELİEVLER,BAHCELIEVLER
787,Bahçelievler,Bahcelievler,Selim Ayaydın Parkı,40.9983912590388,28.8582951771469,BAHÇELİEVLER,BAHCELIEVLER
788,Bahçelievler,Bahcelievler,Kıbrıs Parkı,41.0000357658012,28.8639445073619,BAHÇELİEVLER,BAHCELIEVLER
789,Bahçelievler,Bahcelievler,Kerim Tekin Parkı,41.0135246028144,28.8335807243688,ZAFER,ZAFER
790,Bahçelievler,Bahcelievler,Soğanlı Cumhuriyet Mahallesi Parkı,41.0204612642173,28.8523423659154,CUMHURİYET,CUMHURIYET
791,Bahçelievler,Bahcelievler,Tuğra Park,41.0173932923817,28.8311851959184,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
792,Bahçelievler,Bahcelievler,Şehit Vedat Ulusoy Parkı,41.0128823234046,28.8292137865469,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
811,Bahçelievler,Bahcelievler,Cumhuriyet Parkı,41.0081659131697,28.8194408611932,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
812,Bahçelievler,Bahcelievler,Kadir Has Parkı,41.0170039347766,28.8290387332682,YENİBOSNA MERKEZ,YENIBOSNA MERKEZ
968,Bahçelievler,Bahcelievler,Kızılay Parkı,40.9993694020091,28.8467398028719,ŞİRİNEVLER,SIRINEVLER
979,Bahçelievler,Bahcelievler,Şehit Yarbay Cesur Parkı,40.9961371304828,28.8488215044845,ŞİRİNEVLER,SIRINEVLER
980,Bahçelievler,Bahcelievler,Mahmutbey 1. Sok. Parkı,40.9961594416342,28.8444211888974,ŞİRİNEVLER,SIRINEVLER
1046,Bahçelievler,Bahcelievler,Sağlıklı Yaşam Parkı,41.0031887117647,28.8633032835064,BAHÇELİEVLER,BAHCELIEVLER
1048,Bahçelievler,Bahcelievler,Park,41.0200279816245,28.8342473662155,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
1056,Bahçelievler,Bahcelievler,Mehmet Akif Ersoy Parkı,41.0158069995698,28.8442860969185,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
1057,Bahçelievler,Bahcelievler,Siyavuşpaşa Parkı,40.99583474331,28.8536184417796,SİYAVUŞPAŞA,SIYAVUSPASA
1135,Bahçelievler,Bahcelievler,Çocuk Parkı,41.0063072908781,28.8403383724833,HÜRRİYET,HURRIYET
1212,Bahçelievler,Bahcelievler,Park,41.0106638639733,28.8322488071953,ZAFER,ZAFER
1270,Bahçelievler,Bahcelievler,Park,40.998251763533,28.8269512010771,ÇOBANÇEŞME,COBANCESME
1332,Bahçelievler,Bahcelievler,Atsushi Miyazati Trafik Eğitim ve Savunma Parkı,41.0031270144679,28.822780321445,ÇOBANÇEŞME,COBANCESME
1473,Bahçelievler,Bahcelievler,Erkan Ocaklı Parkı,41.0163745372606,28.8404587572209,KOCASİNAN MERKEZ,KOCASINAN MERKEZ
