institution_id,district_tr,district_eng,institution_name,latitude,longitude,neighborhood_tr,neighborhood_eng,institution_type_tr,institution_type_eng,care_type
1,Zeyti̇nburnu,Zeytinburnu,Ilgaz Parkı,40.9946468879565,28.9143553940026,TELSİZ,TELSIZ,Park,Park,genellestirilmis
2,Zeyti̇nburnu,Zeytinburnu,Kadriye Gök Parkı,40.9900613788238,28.8998723752388,NURİPAŞA,NURIPASA,Park,Park,genellestirilmis
3,Eyüpsultan,Eyupsultan,Yayla Sokak Parkı,41.0811977071569,28.9250815948977,AKŞEMSETTİN,AKSEMSETTIN,Park,Park,genellestirilmis
4,Fati̇h,Fatih,Tutya Parkı,41.00975266887,28.9373598721487,SEYYİD ÖMER,SEYYID OMER,Park,Park,genellestirilmis
5,Fati̇h,Fatih,Çukurbostan Parkı,41.011340820794,28.9336379793672,ŞEHREMİNİ,SEHREMINI,Park,Park,genellestirilmis
6,Fati̇h,Fatih,Çapa Çocuk Parkı,41.0138532564139,28.9336040264787,ŞEHREMİNİ,SEHREMINI,Park,Park,cocuk
7,Başakşehi̇r,Basaksehir,Park,41.0954297731247,28.8037979083769,BAŞAK,BASAK,Park,Park,genellestirilmis
8,Bakirköy,Bakirkoy,Park,40.9874175106284,28.7913835567888,ŞENLİKKÖY,SENLIKKOY,Park,Park,genellestirilmis
9,Küçükçekmece,Kucukcekmece,Park,41.0554994086696,28.7841697497332,ATAKENT,ATAKENT,Park,Park,genellestirilmis
10,Beyoğlu,Beyoglu,Park,41.0351371958467,28.9754650136279,KAMER HATUN,KAMER HATUN,Park,Park,genellestirilmis
11,Kağithane,Kagithane,Ayaz Parkı,41.0860865548388,28.9912138901057,ŞİRİNTEPE,SIRINTEPE,Park,Park,genellestirilmis
12,Küçükçekmece,Kucukcekmece,Park,40.9943864517645,28.7738720197189,YENİ MAHALLE,YENI MAHALLE,Park,Park,genellestirilmis
13,Beşi̇ktaş,Besiktas,Yeşil Alan,41.0884303558993,29.0093476020012,KONAKLAR,KONAKLAR,Park,Park,genellestirilmis
14,Gazi̇osmanpaşa,Gaziosmanpasa,Park,41.0739916192152,28.9034400530239,YENİ MAHALLE,YENI MAHALLE,Park,Park,genellestirilmis
15,Başakşehi̇r,Basaksehir,Çocuk Parkı,41.080961309844,28.7557053459785,GÜVERCİNTEPE,GUVERCINTEPE,Park,Park,cocuk
16,Bakirköy,Bakirkoy,Çocuk Parkı,40.9874489229361,28.8754353155221,KARTALTEPE,KARTALTEPE,Park,Park,cocuk
17,Üsküdar,Uskudar,Ilgaz Parkı,40.9963666821028,29.0706818771322,ÜNALAN,UNALAN,Park,Park,genellestirilmis
18,Üsküdar,Uskudar,Park,41.0282793974963,29.0751486658618,KISIKLI,KISIKLI,Park,Park,genellestirilmis
19,Ataşehi̇r,Atasehir,Park,40.9867646862414,29.1185240442713,KÜÇÜKBAKKALKÖY,KUCUKBAKKALKOY,Park,Park,genellestirilmis
20,Maltepe,Maltepe,Maltepe Gülsuyu Parkı,40.9287060454991,29.1549483746475,GÜLSUYU,GULSUYU,Park,Park,genellestirilmis
21,Küçükçekmece,Kucukcekmece,Park,41.0385091474059,28.7931958728524,HALKALI MERKEZ,HALKALI MERKEZ,Park,Park,genellestirilmis
22,Küçükçekmece,Kucukcekmece,Çocuk Parkı,41.0069887520529,28.7891128582211,FEVZİ ÇAKMAK,FEVZI CAKMAK,Park,Park,cocuk
23,Küçükçekmece,Kucukcekmece,Küçükçekmece Belediyesi Anadolu Meyve Bahçesi,41.0463221835846,28.789455100222,ATAKENT,ATAKENT,Park,Park,genellestirilmis
24,Küçükçekmece,Kucukcekmece,Park,41.0445738129807,28.8008647746252,ATAKENT,ATAKENT,Park,Park,genellestirilmis
25,Maltepe,Maltepe,Park,40.9237652635055,29.1274457646521,FEYZULLAH,FEYZULLAH,Park,Park,genellestirilmis
26,Ümrani̇ye,Umraniye,Park,41.0281175774512,29.0906891587528,ATATÜRK,ATATURK,Park,Park,genellestirilmis
27,Sancaktepe,Sancaktepe,Sancaktepe Meydan Parkı,40.9925560463719,29.2294881060675,ABDURRAHMANGAZİ,ABDURRAHMANGAZI,Park,Park,genellestirilmis
28,Ümrani̇ye,Umraniye,Remzi Öztürk Parkı,41.009547987813,29.1257810003741,ÇAMLIK,CAMLIK,Park,Park,genellestirilmis
29,Ümrani̇ye,Umraniye,Park,41.0187647366429,29.0883953456571,NAMIK KEMAL,NAMIK KEMAL,Park,Park,genellestirilmis
30,Si̇li̇vri̇,Silivri,Park,41.0522106015782,28.0529754662696,GÜMÜŞYAKA,GUMUSYAKA,Park,Park,genellestirilmis
31,Arnavutköy,Arnavutkoy,Sultan Mehmet Parkı,41.2247790806014,28.7034785795382,FATİH,FATIH,Park,Park,genellestirilmis
32,Üsküdar,Uskudar,Park,41.01439391108,29.0391983802259,BARBAROS,BARBAROS,Park,Park,genellestirilmis
33,Esenyurt,Esenyurt,Bella Park,41.0166893592286,28.641234253193,BARBAROS HAYRETTİN PAŞA,BARBAROS HAYRETTIN PASA,Park,Park,genellestirilmis
34,Üsküdar,Uskudar,Park,41.0190187201184,29.0359284078732,ALTUNİZADE,ALTUNIZADE,Park,Park,genellestirilmis
35,Sariyer,Sariyer,Baba Kenan Parkı,41.179599479543,29.0413572713414,MADEN,MADEN,Park,Park,genellestirilmis
36,Kartal,Kartal,Park,40.9270134138353,29.2097396452514,UĞUR MUMCU,UGUR MUMCU,Park,Park,genellestirilmis
