NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
Stad Parkı,28.9143553940026,40.9946468879565,TELSİZ,ZEYTİNBURNU
Kadriye Gök Parkı,28.8998723752388,40.9900613788238,NURİPAŞA,ZEYTİNBURNU
Yayla Sokak Parkı,28.9250815948977,41.0811977071569,AKŞEMSETTİN,EYÜPSULTAN
Tutya Parkı,28.9373598721487,41.00975266887,SEYYİD ÖMER,FATİH
Çukurbostan Parkı,28.9336379793672,41.011340820794,ŞEHREMİNİ,FATİH
Çapa Çocuk Parkı,28.9336040264787,41.0138532564139,ŞEHREMİNİ,FATİH
Park,28.8037979083769,41.0954297731247,BAŞAK,BAŞAKŞEHİR
Park,28.7913835567888,40.9874175106284,ŞENLİKKÖY,BAKIRKÖY
Park,28.7841697497332,41.0554994086696,ATAKENT,KÜÇÜKÇEKMECE
Park,28.9754650136279,41.0351371958467,KAMER HATUN,BEYOĞLU
Ayaz Parkı,28.9912138901057,41.0860865548388,ŞİRİNTEPE,KAĞITHANE
Park,28.7738720197189,40.9943864517645,YENİ MAHALLE,KÜÇÜKÇEKMECE
Yeşil Alan,29.0093476020012,41.0884303558993,KONAKLAR,BEŞİKTAŞ
Park,28.9034400530239,41.0739916192152,YENİ MAHALLE,GAZİOSMANPAŞA
Çocuk Parkı,28.7557053459785,41.080961309844,GÜVERCİNTEPE,BAŞAKŞEHİR
Çocuk Parkı,28.8754353155221,40.9874489229361,KARTALTEPE,BAKIRKÖY
Ilgaz Parkı,29.0706818771322,40.9963666821028,ÜNALAN,ÜSKÜDAR
Park,29.0751486658618,41.0282793974963,KISIKLI,ÜSKÜDAR
Park,29.1185240442713,40.9867646862414,KÜÇÜKBAKKALKÖY,ATAŞEHİR
Maltepe Gülsuyu Parkı,29.1549483746475,40.9287060454991,GÜLSUYU,MALTEPE
Park,28.7931958728524,41.0385091474059,HALKALI MERKEZ,KÜÇÜKÇEKMECE
Çocuk Parkı,28.7891128582211,41.0069887520529,FEVZİ ÇAKMAK,KÜÇÜKÇEKMECE
Küçükçekmece Belediyesi Anadolu Meyve Bahçesi,28.789455100222,41.0463221835846,ATAKENT,KÜÇÜKÇEKMECE
Park,28.8008647746252,41.0445738129807,ATAKENT,KÜÇÜKÇEKMECE
Park,29.1274457646521,40.9237652635055,FEYZULLAH,MALTEPE
Park,29.0906891587528,41.0281175774512,ATATÜRK,ÜMRANİYE
Sancaktepe Meydan Parkı,29.2294881060675,40.9925560463719,ABDURRAHMANGAZİ,SANCAKTEPE
Remzi Öztürk Parkı,29.1257810003741,41.009547987813,ÇAMLIK,ÜMRANİYE
Park,29.0883953456571,41.0187647366429,NAMIK KEMAL,ÜMRANİYE
Park,28.0529754662696,41.0522106015782,GÜMÜŞYAKA,SİLİVRİ
Sultan Mehmet Parkı,28.7034785795382,41.2247790806014,FATİH,ARNAVUTKÖY
